               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.044702,            0.028625,           0.0088413,             0.49261,             0.34867,             0.25841,               0.117,            0.044321,            0.025678,            0.008663,           0.0052174,           0.0052174,           0.0052174
                  54,            0.045068,            0.029446,           0.0087405,             0.52708,             0.34095,             0.27019,             0.12308,            0.044516,            0.025575,           0.0088064,           0.0050765,           0.0050765,           0.0050765
                  55,            0.044306,            0.028084,           0.0079676,             0.55485,              0.3191,             0.27589,             0.13206,            0.044016,            0.025664,           0.0089093,            0.004936,            0.004936,            0.004936
                  56,            0.044526,            0.028969,           0.0085772,             0.54486,             0.31715,             0.26876,             0.12592,            0.043958,            0.025464,            0.008878,            0.004796,            0.004796,            0.004796
                  57,             0.04436,            0.028948,           0.0087266,             0.54074,             0.34739,             0.26965,             0.12506,            0.044051,            0.025447,           0.0091278,           0.0046568,           0.0046568,           0.0046568
                  58,            0.043691,            0.028207,           0.0083567,             0.58211,             0.32288,             0.30006,             0.14344,            0.043569,             0.02537,           0.0086789,           0.0045184,           0.0045184,           0.0045184
                  59,            0.043893,            0.027722,             0.00857,             0.56932,             0.31973,             0.27457,             0.12705,            0.043673,            0.025267,           0.0091311,           0.0043809,           0.0043809,           0.0043809
                  60,            0.044034,             0.02812,           0.0086341,             0.57102,             0.31711,              0.2829,             0.13268,              0.0437,            0.025295,           0.0086004,           0.0042445,           0.0042445,           0.0042445
                  61,            0.043481,            0.027824,           0.0083678,             0.55537,             0.33618,             0.28205,             0.13635,            0.043677,             0.02514,           0.0088048,           0.0041094,           0.0041094,           0.0041094
                  62,            0.043077,            0.028224,           0.0083949,             0.54237,             0.33887,             0.28118,             0.13439,            0.043402,             0.02521,           0.0085666,           0.0039757,           0.0039757,           0.0039757
                  63,            0.043323,            0.027609,           0.0083593,             0.59669,              0.3215,             0.29529,             0.13709,            0.043547,            0.025253,           0.0086341,           0.0038434,           0.0038434,           0.0038434
                  64,             0.04315,            0.028017,           0.0079653,             0.62067,             0.31378,             0.30294,             0.14702,            0.042914,            0.025197,           0.0084588,           0.0037128,           0.0037128,           0.0037128
                  65,            0.043346,            0.027964,           0.0080146,             0.55489,              0.3488,             0.29695,             0.13861,            0.042918,            0.025064,           0.0085474,            0.003584,            0.003584,            0.003584
